GraphID,Nodes,Edges,Labels
4255,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[[43, 0], [0, 43], [43, 1], [1, 43], [43, 2], [2, 43], [43, 3], [3, 43], [43, 4], [4, 43], [43, 5], [5, 43], [43, 6], [6, 43], [43, 7], [7, 43], [43, 8], [8, 43], [43, 9], [9, 43], [43, 10], [10, 43], [43, 11], [11, 43], [43, 12], [12, 43], [43, 13], [13, 43], [43, 14], [14, 43], [43, 15], [15, 43], [43, 16], [16, 43], [43, 17], [17, 43], [43, 18], [18, 43], [43, 19], [19, 43], [43, 20], [20, 43], [43, 21], [21, 43], [43, 22], [22, 43], [43, 23], [23, 43], [43, 24], [24, 43], [43, 25], [25, 43], [43, 26], [26, 43], [43, 27], [27, 43], [43, 28], [28, 43], [43, 29], [29, 43], [43, 30], [30, 43], [43, 31], [31, 43], [43, 32], [32, 43], [43, 33], [33, 43], [43, 34], [34, 43], [43, 35], [35, 43], [43, 36], [36, 43], [43, 37], [37, 43], [43, 38], [38, 43], [43, 39], [39, 43], [43, 40], [40, 43], [43, 41], [41, 43], [43, 42], [42, 43], [30, 0], [0, 30], [7, 1], [1, 7], [20, 1], [1, 20], [24, 1], [1, 24], [22, 1], [1, 22], [14, 1], [1, 14], [38, 1], [1, 38], [40, 1], [1, 40], [16, 1], [1, 16], [17, 1], [1, 17], [27, 1], [1, 27], [7, 2], [2, 7], [31, 2], [2, 31], [27, 2], [2, 27], [34, 2], [2, 34], [10, 2], [2, 10], [11, 2], [2, 11], [37, 2], [2, 37], [20, 2], [2, 20], [38, 2], [2, 38], [16, 2], [2, 16], [17, 2], [2, 17], [30, 2], [2, 30], [40, 2], [2, 40], [20, 3], [3, 20], [17, 3], [3, 17], [17, 4], [4, 17], [40, 4], [4, 40], [24, 4], [4, 24], [14, 4], [4, 14], [38, 4], [4, 38], [20, 6], [6, 20], [17, 6], [6, 17], [24, 6], [6, 24], [27, 6], [6, 27], [22, 7], [7, 22], [14, 7], [7, 14], [17, 8], [8, 17], [31, 9], [9, 31], [38, 9], [9, 38], [20, 11], [11, 20], [17, 11], [11, 17], [22, 11], [11, 22], [20, 13], [13, 20], [27, 13], [13, 27], [22, 14], [14, 22], [42, 14], [14, 42], [38, 14], [14, 38], [17, 14], [14, 17], [18, 14], [14, 18], [24, 14], [14, 24], [20, 16], [16, 20], [38, 16], [16, 38], [17, 16], [16, 17], [24, 16], [16, 24], [20, 17], [17, 20], [22, 17], [17, 22], [38, 17], [17, 38], [25, 17], [17, 25], [24, 17], [17, 24], [30, 17], [17, 30], [18, 17], [17, 18], [41, 17], [17, 41], [24, 18], [18, 24], [38, 18], [18, 38], [24, 19], [19, 24], [38, 19], [19, 38], [22, 20], [20, 22], [39, 20], [20, 39], [38, 20], [20, 38], [27, 20], [20, 27], [42, 20], [20, 42], [38, 22], [22, 38], [27, 22], [22, 27], [28, 22], [22, 28], [30, 22], [22, 30], [24, 22], [22, 24], [42, 24], [24, 42], [37, 24], [24, 37], [38, 24], [24, 38], [27, 24], [24, 27], [38, 27], [27, 38], [28, 27], [27, 28], [41, 27], [27, 41], [37, 30], [30, 37], [34, 31], [31, 34], [40, 35], [35, 40], [42, 38], [38, 42], [40, 38], [38, 40], [41, 38], [38, 41]]",0
343,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","[[45, 0], [0, 45], [45, 1], [1, 45], [45, 2], [2, 45], [45, 3], [3, 45], [45, 4], [4, 45], [45, 5], [5, 45], [45, 6], [6, 45], [45, 7], [7, 45], [45, 8], [8, 45], [45, 9], [9, 45], [45, 10], [10, 45], [45, 11], [11, 45], [45, 12], [12, 45], [45, 13], [13, 45], [45, 14], [14, 45], [45, 15], [15, 45], [45, 16], [16, 45], [45, 17], [17, 45], [45, 18], [18, 45], [45, 19], [19, 45], [45, 20], [20, 45], [45, 21], [21, 45], [45, 22], [22, 45], [45, 23], [23, 45], [45, 24], [24, 45], [45, 25], [25, 45], [45, 26], [26, 45], [45, 27], [27, 45], [45, 28], [28, 45], [45, 29], [29, 45], [45, 30], [30, 45], [45, 31], [31, 45], [45, 32], [32, 45], [45, 33], [33, 45], [45, 34], [34, 45], [45, 35], [35, 45], [45, 36], [36, 45], [45, 37], [37, 45], [45, 38], [38, 45], [45, 39], [39, 45], [45, 40], [40, 45], [45, 41], [41, 45], [45, 42], [42, 45], [45, 43], [43, 45], [45, 44], [44, 45], [8, 0], [0, 8], [9, 2], [2, 9], [4, 2], [2, 4], [3, 2], [2, 3], [5, 2], [2, 5], [6, 2], [2, 6], [11, 2], [2, 11], [13, 2], [2, 13], [40, 2], [2, 40], [16, 2], [2, 16], [17, 2], [2, 17], [19, 2], [2, 19], [20, 2], [2, 20], [21, 2], [2, 21], [22, 2], [2, 22], [23, 2], [2, 23], [27, 2], [2, 27], [28, 2], [2, 28], [29, 2], [2, 29], [30, 2], [2, 30], [32, 2], [2, 32], [38, 2], [2, 38], [25, 2], [2, 25], [33, 2], [2, 33], [36, 2], [2, 36], [9, 3], [3, 9], [6, 3], [3, 6], [7, 3], [3, 7], [10, 3], [3, 10], [11, 3], [3, 11], [13, 3], [3, 13], [14, 3], [3, 14], [16, 3], [3, 16], [17, 3], [3, 17], [19, 3], [3, 19], [21, 3], [3, 21], [22, 3], [3, 22], [23, 3], [3, 23], [24, 3], [3, 24], [27, 3], [3, 27], [30, 3], [3, 30], [37, 3], [3, 37], [38, 3], [3, 38], [39, 3], [3, 39], [40, 3], [3, 40], [33, 3], [3, 33], [36, 3], [3, 36], [44, 3], [3, 44], [13, 4], [4, 13], [22, 4], [4, 22], [24, 4], [4, 24], [9, 4], [4, 9], [32, 4], [4, 32], [25, 4], [4, 25], [14, 4], [4, 14], [27, 4], [4, 27], [16, 4], [4, 16], [37, 4], [4, 37], [38, 4], [4, 38], [39, 4], [4, 39], [28, 4], [4, 28], [19, 4], [4, 19], [33, 4], [4, 33], [10, 4], [4, 10], [30, 4], [4, 30], [36, 4], [4, 36], [25, 5], [5, 25], [21, 5], [5, 21], [13, 6], [6, 13], [42, 6], [6, 42], [24, 6], [6, 24], [9, 6], [6, 9], [19, 6], [6, 19], [28, 6], [6, 28], [26, 6], [6, 26], [16, 6], [6, 16], [37, 6], [6, 37], [38, 6], [6, 38], [36, 6], [6, 36], [14, 6], [6, 14], [40, 6], [6, 40], [44, 6], [6, 44], [29, 6], [6, 29], [21, 6], [6, 21], [25, 6], [6, 25], [44, 7], [7, 44], [19, 7], [7, 19], [35, 8], [8, 35], [41, 8], [8, 41], [18, 8], [8, 18], [13, 9], [9, 13], [23, 9], [9, 23], [32, 9], [9, 32], [22, 9], [9, 22], [27, 9], [9, 27], [16, 9], [9, 16], [38, 9], [9, 38], [36, 9], [9, 36], [25, 9], [9, 25], [19, 9], [9, 19], [30, 9], [9, 30], [44, 9], [9, 44], [11, 9], [9, 11], [21, 9], [9, 21], [17, 9], [9, 17], [32, 10], [10, 32], [37, 10], [10, 37], [38, 10], [10, 38], [33, 10], [10, 33], [30, 10], [10, 30], [44, 10], [10, 44], [13, 11], [11, 13], [27, 11], [11, 27], [16, 11], [11, 16], [37, 11], [11, 37], [17, 11], [11, 17], [39, 11], [11, 39], [19, 11], [11, 19], [36, 11], [11, 36], [44, 11], [11, 44], [14, 13], [13, 14], [40, 13], [13, 40], [16, 13], [13, 16], [17, 13], [13, 17], [19, 13], [13, 19], [21, 13], [13, 21], [24, 13], [13, 24], [26, 13], [13, 26], [25, 13], [13, 25], [30, 13], [13, 30], [32, 13], [13, 32], [37, 13], [13, 37], [38, 13], [13, 38], [39, 13], [13, 39], [28, 13], [13, 28], [33, 13], [13, 33], [42, 13], [13, 42], [36, 13], [13, 36], [44, 13], [13, 44], [24, 14], [14, 24], [32, 14], [14, 32], [28, 14], [14, 28], [37, 14], [14, 37], [38, 14], [14, 38], [39, 14], [14, 39], [40, 14], [14, 40], [19, 14], [14, 19], [33, 14], [14, 33], [34, 15], [15, 34], [36, 15], [15, 36], [17, 16], [16, 17], [19, 16], [16, 19], [21, 16], [16, 21], [22, 16], [16, 22], [27, 16], [16, 27], [28, 16], [16, 28], [29, 16], [16, 29], [30, 16], [16, 30], [32, 16], [16, 32], [37, 16], [16, 37], [38, 16], [16, 38], [39, 16], [16, 39], [25, 16], [16, 25], [33, 16], [16, 33], [36, 16], [16, 36], [44, 16], [16, 44], [32, 17], [17, 32], [25, 17], [17, 25], [26, 17], [17, 26], [36, 17], [17, 36], [39, 17], [17, 39], [28, 17], [17, 28], [40, 17], [17, 40], [30, 17], [17, 30], [20, 17], [17, 20], [21, 17], [17, 21], [44, 17], [17, 44], [41, 18], [18, 41], [21, 19], [19, 21], [22, 19], [19, 22], [24, 19], [19, 24], [27, 19], [19, 27], [25, 19], [19, 25], [30, 19], [19, 30], [32, 19], [19, 32], [37, 19], [19, 37], [38, 19], [19, 38], [39, 19], [19, 39], [28, 19], [19, 28], [33, 19], [19, 33], [36, 19], [19, 36], [44, 19], [19, 44], [24, 20], [20, 24], [32, 20], [20, 32], [27, 20], [20, 27], [40, 20], [20, 40], [30, 20], [20, 30], [36, 20], [20, 36], [23, 21], [21, 23], [24, 21], [21, 24], [26, 21], [21, 26], [37, 21], [21, 37], [38, 21], [21, 38], [25, 21], [21, 25], [30, 21], [21, 30], [44, 21], [21, 44], [29, 21], [21, 29], [24, 22], [22, 24], [28, 22], [22, 28], [27, 22], [22, 27], [37, 22], [22, 37], [32, 22], [22, 32], [39, 22], [22, 39], [40, 22], [22, 40], [32, 23], [23, 32], [28, 23], [23, 28], [36, 23], [23, 36], [25, 23], [23, 25], [32, 24], [24, 32], [30, 24], [24, 30], [37, 24], [24, 37], [38, 24], [24, 38], [40, 24], [24, 40], [33, 24], [24, 33], [44, 24], [24, 44], [25, 24], [24, 25], [32, 25], [25, 32], [27, 25], [25, 27], [36, 25], [25, 36], [37, 25], [25, 37], [38, 25], [25, 38], [39, 25], [25, 39], [40, 25], [25, 40], [33, 25], [25, 33], [30, 25], [25, 30], [37, 26], [26, 37], [29, 26], [26, 29], [32, 27], [27, 32], [37, 27], [27, 37], [38, 27], [27, 38], [28, 27], [27, 28], [33, 27], [27, 33], [36, 27], [27, 36], [44, 27], [27, 44], [37, 28], [28, 37], [39, 28], [28, 39], [40, 28], [28, 40], [33, 28], [28, 33], [30, 28], [28, 30], [36, 28], [28, 36], [37, 29], [29, 37], [44, 29], [29, 44], [44, 30], [30, 44], [36, 30], [30, 36], [37, 30], [30, 37], [32, 30], [30, 32], [39, 30], [30, 39], [40, 30], [30, 40], [33, 30], [30, 33], [37, 32], [32, 37], [38, 32], [32, 38], [39, 32], [32, 39], [33, 32], [32, 33], [36, 32], [32, 36], [37, 33], [33, 37], [38, 33], [33, 38], [39, 33], [33, 39], [40, 33], [33, 40], [36, 33], [33, 36], [39, 36], [36, 39], [40, 36], [36, 40], [38, 37], [37, 38], [39, 37], [37, 39], [44, 37], [37, 44], [39, 38], [38, 39], [44, 38], [38, 44], [40, 39], [39, 40], [44, 39], [39, 44]]",0
1319,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[[43, 0], [0, 43], [43, 1], [1, 43], [43, 2], [2, 43], [43, 3], [3, 43], [43, 4], [4, 43], [43, 5], [5, 43], [43, 6], [6, 43], [43, 7], [7, 43], [43, 8], [8, 43], [43, 9], [9, 43], [43, 10], [10, 43], [43, 11], [11, 43], [43, 12], [12, 43], [43, 13], [13, 43], [43, 14], [14, 43], [43, 15], [15, 43], [43, 16], [16, 43], [43, 17], [17, 43], [43, 18], [18, 43], [43, 19], [19, 43], [43, 20], [20, 43], [43, 21], [21, 43], [43, 22], [22, 43], [43, 23], [23, 43], [43, 24], [24, 43], [43, 25], [25, 43], [43, 26], [26, 43], [43, 27], [27, 43], [43, 28], [28, 43], [43, 29], [29, 43], [43, 30], [30, 43], [43, 31], [31, 43], [43, 32], [32, 43], [43, 33], [33, 43], [43, 34], [34, 43], [43, 35], [35, 43], [43, 36], [36, 43], [43, 37], [37, 43], [43, 38], [38, 43], [43, 39], [39, 43], [43, 40], [40, 43], [43, 41], [41, 43], [43, 42], [42, 43], [16, 0], [0, 16], [19, 0], [0, 19], [25, 0], [0, 25], [32, 0], [0, 32], [39, 1], [1, 39], [34, 2], [2, 34], [15, 2], [2, 15], [22, 2], [2, 22], [7, 2], [2, 7], [8, 2], [2, 8], [25, 2], [2, 25], [9, 2], [2, 9], [28, 2], [2, 28], [16, 4], [4, 16], [25, 4], [4, 25], [32, 4], [4, 32], [11, 5], [5, 11], [20, 5], [5, 20], [11, 7], [7, 11], [8, 7], [7, 8], [15, 7], [7, 15], [26, 7], [7, 26], [15, 8], [8, 15], [26, 8], [8, 26], [28, 8], [8, 28], [9, 8], [8, 9], [15, 9], [9, 15], [36, 9], [9, 36], [16, 9], [9, 16], [11, 9], [9, 11], [28, 9], [9, 28], [21, 11], [11, 21], [33, 11], [11, 33], [22, 11], [11, 22], [27, 11], [11, 27], [24, 14], [14, 24], [26, 15], [15, 26], [34, 16], [16, 34], [32, 16], [16, 32], [19, 16], [16, 19], [25, 16], [16, 25], [40, 17], [17, 40], [36, 17], [17, 36], [27, 22], [22, 27], [34, 22], [22, 34], [41, 24], [24, 41], [40, 25], [25, 40], [42, 31], [31, 42], [42, 35], [35, 42], [40, 36], [36, 40], [37, 36], [36, 37], [42, 40], [40, 42]]",0
2464,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[[24, 0], [0, 24], [24, 1], [1, 24], [24, 2], [2, 24], [24, 3], [3, 24], [24, 4], [4, 24], [24, 5], [5, 24], [24, 6], [6, 24], [24, 7], [7, 24], [24, 8], [8, 24], [24, 9], [9, 24], [24, 10], [10, 24], [24, 11], [11, 24], [24, 12], [12, 24], [24, 13], [13, 24], [24, 14], [14, 24], [24, 15], [15, 24], [24, 16], [16, 24], [24, 17], [17, 24], [24, 18], [18, 24], [24, 19], [19, 24], [24, 20], [20, 24], [24, 21], [21, 24], [24, 22], [22, 24], [24, 23], [23, 24], [16, 1], [1, 16], [16, 3], [3, 16], [17, 3], [3, 17], [20, 11], [11, 20], [17, 16], [16, 17]]",0
2068,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[13, 0], [0, 13], [13, 1], [1, 13], [13, 2], [2, 13], [13, 3], [3, 13], [13, 4], [4, 13], [13, 5], [5, 13], [13, 6], [6, 13], [13, 7], [7, 13], [13, 8], [8, 13], [13, 9], [9, 13], [13, 10], [10, 13], [13, 11], [11, 13], [13, 12], [12, 13]]",0
1743,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[[48, 0], [0, 48], [48, 1], [1, 48], [48, 2], [2, 48], [48, 3], [3, 48], [48, 4], [4, 48], [48, 5], [5, 48], [48, 6], [6, 48], [48, 7], [7, 48], [48, 8], [8, 48], [48, 9], [9, 48], [48, 10], [10, 48], [48, 11], [11, 48], [48, 12], [12, 48], [48, 13], [13, 48], [48, 14], [14, 48], [48, 15], [15, 48], [48, 16], [16, 48], [48, 17], [17, 48], [48, 18], [18, 48], [48, 19], [19, 48], [48, 20], [20, 48], [48, 21], [21, 48], [48, 22], [22, 48], [48, 23], [23, 48], [48, 24], [24, 48], [48, 25], [25, 48], [48, 26], [26, 48], [48, 27], [27, 48], [48, 28], [28, 48], [48, 29], [29, 48], [48, 30], [30, 48], [48, 31], [31, 48], [48, 32], [32, 48], [48, 33], [33, 48], [48, 34], [34, 48], [48, 35], [35, 48], [48, 36], [36, 48], [48, 37], [37, 48], [48, 38], [38, 48], [48, 39], [39, 48], [48, 40], [40, 48], [48, 41], [41, 48], [48, 42], [42, 48], [48, 43], [43, 48], [48, 44], [44, 48], [48, 45], [45, 48], [48, 46], [46, 48], [48, 47], [47, 48], [13, 12], [12, 13], [26, 12], [12, 26], [44, 13], [13, 44], [21, 13], [13, 21], [31, 14], [14, 31], [32, 21], [21, 32], [44, 21], [21, 44], [32, 22], [22, 32], [34, 26], [26, 34], [43, 29], [29, 43], [44, 31], [31, 44]]",0
9081,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","[[44, 0], [0, 44], [44, 1], [1, 44], [44, 2], [2, 44], [44, 3], [3, 44], [44, 4], [4, 44], [44, 5], [5, 44], [44, 6], [6, 44], [44, 7], [7, 44], [44, 8], [8, 44], [44, 9], [9, 44], [44, 10], [10, 44], [44, 11], [11, 44], [44, 12], [12, 44], [44, 13], [13, 44], [44, 14], [14, 44], [44, 15], [15, 44], [44, 16], [16, 44], [44, 17], [17, 44], [44, 18], [18, 44], [44, 19], [19, 44], [44, 20], [20, 44], [44, 21], [21, 44], [44, 22], [22, 44], [44, 23], [23, 44], [44, 24], [24, 44], [44, 25], [25, 44], [44, 26], [26, 44], [44, 27], [27, 44], [44, 28], [28, 44], [44, 29], [29, 44], [44, 30], [30, 44], [44, 31], [31, 44], [44, 32], [32, 44], [44, 33], [33, 44], [44, 34], [34, 44], [44, 35], [35, 44], [44, 36], [36, 44], [44, 37], [37, 44], [44, 38], [38, 44], [44, 39], [39, 44], [44, 40], [40, 44], [44, 41], [41, 44], [44, 42], [42, 44], [44, 43], [43, 44], [19, 1], [1, 19], [35, 1], [1, 35], [31, 1], [1, 31], [23, 1], [1, 23], [28, 1], [1, 28], [14, 1], [1, 14], [20, 1], [1, 20], [16, 1], [1, 16], [5, 1], [1, 5], [42, 1], [1, 42], [40, 1], [1, 40], [9, 1], [1, 9], [38, 2], [2, 38], [19, 3], [3, 19], [35, 3], [3, 35], [19, 5], [5, 19], [35, 5], [5, 35], [31, 5], [5, 31], [23, 5], [5, 23], [26, 5], [5, 26], [14, 5], [5, 14], [20, 5], [5, 20], [42, 5], [5, 42], [39, 6], [6, 39], [19, 8], [8, 19], [42, 8], [8, 42], [35, 8], [8, 35], [42, 9], [9, 42], [42, 11], [11, 42], [19, 14], [14, 19], [35, 14], [14, 35], [23, 14], [14, 23], [28, 14], [14, 28], [20, 14], [14, 20], [42, 14], [14, 42], [19, 16], [16, 19], [35, 16], [16, 35], [20, 16], [16, 20], [35, 19], [19, 35], [31, 19], [19, 31], [42, 19], [19, 42], [23, 19], [19, 23], [25, 19], [19, 25], [28, 19], [19, 28], [26, 19], [19, 26], [20, 19], [19, 20], [30, 19], [19, 30], [35, 20], [20, 35], [31, 20], [20, 31], [23, 20], [20, 23], [42, 20], [20, 42], [35, 22], [22, 35], [29, 22], [22, 29], [28, 23], [23, 28], [26, 23], [23, 26], [42, 23], [23, 42], [30, 23], [23, 30], [35, 26], [26, 35], [28, 26], [26, 28], [35, 28], [28, 35], [42, 28], [28, 42], [35, 31], [31, 35], [42, 31], [31, 42], [36, 35], [35, 36], [42, 35], [35, 42], [42, 40], [40, 42]]",0
5100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[[17, 0], [0, 17], [17, 1], [1, 17], [17, 2], [2, 17], [17, 3], [3, 17], [17, 4], [4, 17], [17, 5], [5, 17], [17, 6], [6, 17], [17, 7], [7, 17], [17, 8], [8, 17], [17, 9], [9, 17], [17, 10], [10, 17], [17, 11], [11, 17], [17, 12], [12, 17], [17, 13], [13, 17], [17, 14], [14, 17], [17, 15], [15, 17], [17, 16], [16, 17], [13, 1], [1, 13], [7, 1], [1, 7], [8, 6], [6, 8], [12, 7], [7, 12], [13, 7], [7, 13]]",0
7429,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[[19, 0], [0, 19], [19, 1], [1, 19], [19, 2], [2, 19], [19, 3], [3, 19], [19, 4], [4, 19], [19, 5], [5, 19], [19, 6], [6, 19], [19, 7], [7, 19], [19, 8], [8, 19], [19, 9], [9, 19], [19, 10], [10, 19], [19, 11], [11, 19], [19, 12], [12, 19], [19, 13], [13, 19], [19, 14], [14, 19], [19, 15], [15, 19], [19, 16], [16, 19], [19, 17], [17, 19], [19, 18], [18, 19], [14, 1], [1, 14], [14, 5], [5, 14], [14, 7], [7, 14], [10, 7], [7, 10], [17, 10], [10, 17], [15, 14], [14, 15], [16, 14], [14, 16]]",0
6868,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[13, 0], [0, 13], [13, 1], [1, 13], [13, 2], [2, 13], [13, 3], [3, 13], [13, 4], [4, 13], [13, 5], [5, 13], [13, 6], [6, 13], [13, 7], [7, 13], [13, 8], [8, 13], [13, 9], [9, 13], [13, 10], [10, 13], [13, 11], [11, 13], [13, 12], [12, 13], [5, 0], [0, 5], [6, 1], [1, 6], [4, 3], [3, 4], [6, 3], [3, 6], [6, 4], [4, 6], [9, 6], [6, 9], [12, 6], [6, 12], [11, 6], [6, 11]]",0
